customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
CZ33664,Oregon,Unknown,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,11
WK30175,Oregon,Unknown,Bachelor,267209,52822,67,0,Corporate Auto,Two-Door Car,350
ON44465,California,Unknown,High School or Below,531329,0,77,1,Personal Auto,Four-Door Car,863
TV87155,Oregon,Unknown,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492
KH48895,Arizona,Unknown,Master,837535,17780,109,0,Personal Auto,SUV,132
NZ30757,California,Unknown,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,297
RI22468,Arizona,Unknown,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,269
FZ30935,Oregon,Unknown,College,606611,32627,76,0,Personal Auto,Two-Door Car,380
UG93476,California,Unknown,College,800230,0,107,0,Personal Auto,SUV,513
AB96670,California,Unknown,College,239391,0,70,0,Personal Auto,Four-Door Car,425
XK64261,Oregon,Unknown,Bachelor,476281,65795,62,1,Corporate Auto,Two-Door Car,49
EV68375,California,Unknown,College,433038,60475,107,0,Personal Auto,Four-Door Car,513
UN51653,California,Unknown,High School or Below,940272,0,130,0,Personal Auto,SUV,936
TO96662,Oregon,Unknown,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142
MR52087,California,Unknown,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45
DE75225,Oregon,Unknown,High School or Below,871756,0,117,1,Personal Auto,SUV,561
EP80820,California,Unknown,Bachelor,592874,40531,74,0,Personal Auto,Two-Door Car,30
GU99037,Oregon,Unknown,College,245297,79898,62,1,Corporate Auto,Four-Door Car,271
WI57118,California,Unknown,College,670157,56398,85,0,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46
MQ14219,Arizona,Unknown,College,849269,27804,109,0,Personal Auto,SUV,784
KN20603,Oregon,Unknown,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,316
SG20925,Washington,F,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48
JI70886,California,Unknown,High School or Below,729006,0,102,1,Corporate Auto,SUV,489
VF72557,Oregon,Unknown,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
OX28638,Arizona,Unknown,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,465
SK55033,California,Unknown,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368
OO88645,California,Unknown,College,310392,74665,78,2,Corporate Auto,Four-Door Car,236
FM14335,Washington,F,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49
CW82151,California,Unknown,Bachelor,890273,46833,112,0,Personal Auto,Luxury,64
DY22043,Oregon,Unknown,High School or Below,549944,88768,68,0,Personal Auto,Two-Door Car,326
SH36774,California,Unknown,High School or Below,1502359,28262,192,0,Personal Auto,Luxury,921
EM43724,Nevada,Unknown,Bachelor,250910,33555,63,0,Personal Auto,Four-Door Car,101
FH85960,Oregon,Unknown,College,3122174,42780,113,1,Personal Auto,Four-Door Car,542
XA55993,Oregon,Unknown,Master,313350,58850,78,0,Personal Auto,Four-Door Car,143
GO36627,Arizona,Unknown,College,383745,21880,97,0,Special Auto,Four-Door Car,424
QH48047,Oregon,Unknown,College,1179049,25251,66,0,Personal Auto,Four-Door Car,316
HS28694,Washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50
UH65059,Arizona,Unknown,High School or Below,430580,24188,109,0,Personal Auto,Luxury,523
FV21968,Nevada,Unknown,Bachelor,597397,41611,74,0,Special Auto,Four-Door Car,113
QA87025,Oregon,Unknown,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,192
TQ13499,Arizona,Unknown,College,473174,69833,118,0,Personal Auto,Four-Door Car,828
BU44523,Arizona,Unknown,High School or Below,802637,0,74,0,Corporate Auto,Four-Door Car,532
MS41162,Arizona,Unknown,High School or Below,402296,0,117,0,Personal Auto,SUV,975
PU25891,Oregon,Unknown,High School or Below,961831,80536,119,0,Special Auto,Luxury,53
LH92841,Washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50
SX26335,Oregon,Unknown,College,955292,97732,79,0,Personal Auto,Four-Door Car,289
AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392
DS81757,Oregon,M,College,247012,0,74,0,Personal Auto,Two-Door Car,721
OJ94107,Arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456
LP84436,California,F,High School or Below,904711,0,127,0,Personal Auto,Luxury,1087
FF22360,Washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51
LM19287,Oregon,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460
ZU18643,Nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251
AZ82578,California,F,College,792882,0,72,0,Corporate Auto,Four-Door Car,345
XC67861,Arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321
YC43143,Arizona,F,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99
EK59571,Oregon,M,College,388545,0,105,0,Corporate Auto,Four-Door Car,504
PA38372,Washington,F,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56
RO18530,Washington,M,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57
PD27940,Arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604
BS77946,Arizona,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8
YM50253,California,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316
NR15332,California,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312
RC62865,Oregon,M,College,351738,51814,92,0,Personal Auto,Four-Door Car,56
CC15295,Oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393
KA61892,Arizona,M,College,387364,28142,105,0,Personal Auto,Luxury,701
OS94884,Arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128
ND87334,California,M,High School or Below,228759,0,63,0,Corporate Auto,Two-Door Car,679
OY51402,Washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59
YL74911,California,F,College,871492,0,118,0,Personal Auto,SUV,566
GK92563,Washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61
HL53154,California,M,Bachelor,741619,0,77,2,Personal Auto,Four-Door Car,554
RI78966,Oregon,M,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465
IC13702,California,F,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,496
BE10809,California,F,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,292
HT87217,Oregon,F,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256
TH95618,California,F,High School or Below,2134346,0,74,1,Personal Auto,Four-Door Car,355
TS19868,California,M,College,241313,27501,63,0,Personal Auto,Four-Door Car,542
LP45550,Oregon,F,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303
QR87004,Nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25
OE75747,Nevada,F,College,218964,0,61,3,Personal Auto,Four-Door Car,292
DX91392,California,M,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
AB72731,California,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84
GX84338,Washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61
IS12901,Arizona,F,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232
BN90616,Washington,F,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68
HH90090,California,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710
IU25463,California,F,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552
KC11055,Nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122
PD33979,Oregon,M,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408
NK71023,Nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408
AB13432,California,M,Bachelor,373583,0,110,0,Personal Auto,SUV,792
OZ97704,California,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532
UF46533,California,F,College,457452,99316,114,0,Corporate Auto,SUV,754
XP47431,Arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702
GK73582,California,F,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206
RV98763,Oregon,M,College,641096,61709,82,2,Personal Auto,Four-Door Car,275
II62831,California,M,Master,447902,94656,111,1,Special Auto,SUV,459
XK33449,California,F,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,496
TR85083,California,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336
EO95328,Oregon,F,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321
EN21086,Arizona,F,High School or Below,688909,0,63,0,Personal Auto,Four-Door Car,302
YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430
AZ62651,Oregon,M,High School or Below,995170,56855,255,0,Corporate Auto,Luxury,1836
ZW25874,Oregon,M,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67
EH41854,Washington,F,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844
MW70227,California,M,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
SL22297,California,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
RV14138,Nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
UO62808,Arizona,F,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481
ZX64745,California,M,College,792313,0,113,0,Personal Auto,SUV,1124
FL34139,California,M,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,669
TS11219,California,M,College,1206745,0,116,0,Personal Auto,SUV,1284
XX12304,California,F,College,292497,64459,72,0,Personal Auto,Four-Door Car,240
SD64087,California,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
OY38576,Oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556
BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115
IP66913,California,M,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470
LE95702,California,M,College,438627,10621,67,0,Special Auto,Four-Door Car,321
KX54357,Washington,M,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383
EZ78112,California,F,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,307
XN16891,Arizona,M,College,291289,81097,74,0,Personal Auto,Four-Door Car,355
XK31350,Oregon,F,College,691572,96610,85,0,Corporate Auto,Four-Door Car,520
CC30924,Oregon,M,College,626266,30110,159,0,Corporate Auto,Luxury,466
IT78748,Oregon,F,High School or Below,650339,22081,84,0,Special Auto,Two-Door Car,451
KY33386,Washington,F,High School or Below,800739,0,112,0,Personal Auto,Luxury,537
CO44221,California,M,College,292991,98473,72,0,Personal Auto,Four-Door Car,345
LK60013,Oregon,F,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355
DE21533,California,M,Bachelor,547315,93870,69,0,Personal Auto,Four-Door Car,331
YS94121,Nevada,M,High School or Below,564539,50366,72,0,Personal Auto,Four-Door Car,428
UK68427,Washington,M,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398
TE49565,Oregon,F,College,1183376,16552,103,0,Personal Auto,SUV,494
RA88421,Oregon,F,College,612110,26787,77,0,Personal Auto,Four-Door Car,369
KQ51983,Nevada,M,College,515936,0,74,0,Personal Auto,Two-Door Car,831
CD88896,Nevada,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156
YV22553,Arizona,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373
WU14435,California,M,Bachelor,496096,18174,66,0,Corporate Auto,Four-Door Car,395
XV84099,Arizona,F,Bachelor,550413,0,73,0,Corporate Auto,Four-Door Car,350
RI24911,Arizona,M,College,750745,60920,64,0,Personal Auto,Two-Door Car,231
KO26461,Arizona,M,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,289
HI14283,Oregon,F,Bachelor,565703,0,152,0,Personal Auto,SUV,729
PT50227,Arizona,M,High School or Below,506175,0,68,0,Personal Auto,Two-Door Car,326
BH36570,California,M,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350
TX17484,California,F,Bachelor,1518227,53863,63,0,Personal Auto,Four-Door Car,105
CT41158,Washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639
AO87348,Washington,M,College,205062,0,61,0,Personal Auto,Four-Door Car,292
DE55857,Washington,F,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383
LF66923,Nevada,F,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,316
CN24514,Arizona,F,College,811982,46618,67,0,Personal Auto,Four-Door Car,99
UW32074,Oregon,F,College,460526,0,64,0,Corporate Auto,Four-Door Car,307
HP36979,California,M,College,640878,49988,84,5,Personal Auto,Two-Door Car,566
PP40919,California,F,College,237653,0,91,5,Personal Auto,Two-Door Car,436
RO73268,California,M,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412
HO61691,Arizona,F,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307
BS13062,Arizona,F,High School or Below,2575527,0,81,2,Personal Auto,Four-Door Car,388
FO35655,Oregon,M,Bachelor,867222,0,245,0,Corporate Auto,Luxury,2345
HR10526,California,M,Master,804473,44320,67,0,Personal Auto,Four-Door Car,321
IA63417,Arizona,F,High School or Below,400151,19782,108,0,Personal Auto,Two-Door Car,773
BH35016,Nevada,F,Bachelor,1670611,63933,70,0,Personal Auto,Two-Door Car,424
PK52952,Arizona,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523
OD76309,Washington,F,College,780531,21073,106,1,Personal Auto,SUV,508
IL28481,Oregon,M,Bachelor,611275,63243,77,0,Personal Auto,Four-Door Car,364
GY55092,Nevada,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
UF33451,Oregon,F,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354
CF15558,California,F,Master,500426,39161,63,1,Personal Auto,Two-Door Car,283
JM62924,Washington,M,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403
EM66435,Oregon,F,Bachelor,262331,80210,65,0,Corporate Auto,Four-Door Car,20
QX45933,California,M,Bachelor,1784019,0,62,0,Personal Auto,Four-Door Car,385
JI71369,California,F,College,510611,30110,64,0,Personal Auto,Four-Door Car,140
JU93290,Arizona,F,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326
GU66096,Arizona,M,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,321
UC33108,California,M,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398
LW93867,Oregon,M,College,481252,16531,63,0,Corporate Auto,Four-Door Car,102
OU78470,Arizona,F,Master,2932804,32006,94,0,Corporate Auto,Four-Door Car,56
XW90265,Arizona,F,Bachelor,577352,81676,72,0,Personal Auto,Two-Door Car,463
HS67749,California,M,College,684711,71038,86,0,Corporate Auto,Four-Door Car,205
VZ51506,Arizona,F,High School or Below,359531,0,103,0,Corporate Auto,Luxury,741
UI64281,Nevada,F,Master,2285561,20832,65,0,Personal Auto,Two-Door Car,56
AE98193,Washington,M,High School or Below,785941,0,113,0,Personal Auto,SUV,813
AZ74055,Oregon,M,High School or Below,411557,52405,103,0,Personal Auto,Four-Door Car,494
XS76911,Arizona,F,High School or Below,502963,0,133,0,Personal Auto,Luxury,795
AY40674,Washington,F,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614
NA12740,Oregon,M,Master,500431,25486,65,0,Special Auto,Two-Door Car,72
UA84837,Arizona,M,College,863005,24065,111,0,Corporate Auto,Four-Door Car,532
DJ51510,Arizona,F,High School or Below,932208,70435,116,0,Personal Auto,Four-Door Car,67
VM58985,California,M,College,1672756,0,76,2,Personal Auto,Two-Door Car,402
OH60605,Oregon,F,High School or Below,365253,39679,92,0,Personal Auto,Two-Door Car,641
UO98052,Nevada,M,College,615860,0,89,0,Personal Auto,Four-Door Car,342
NC53424,California,M,Bachelor,437608,0,69,4,Personal Auto,Two-Door Car,331
LQ13873,Nevada,M,High School or Below,556945,53565,71,1,Personal Auto,Four-Door Car,340
LA97014,Washington,M,Bachelor,257651,37574,66,1,Personal Auto,Two-Door Car,412
NB79936,Washington,M,Bachelor,834698,48259,108,0,Personal Auto,Two-Door Car,73
NT89061,Arizona,F,High School or Below,632392,78532,78,0,Personal Auto,Four-Door Car,374
AF10970,Arizona,F,Bachelor,597314,96163,73,0,Corporate Auto,Four-Door Car,350
ZG48513,California,M,Bachelor,470667,0,72,0,Personal Auto,Four-Door Car,345
JQ59145,California,M,High School or Below,809341,0,114,1,Personal Auto,Luxury,722
FE84989,Washington,M,College,503574,72672,63,0,Personal Auto,Four-Door Car,259
JT52858,Oregon,F,Bachelor,902786,99002,112,1,Personal Auto,Four-Door Car,537
MC62068,California,M,High School or Below,728888,79494,91,0,Personal Auto,Four-Door Car,396
EU27538,Oregon,M,Master,1804247,35704,225,0,Personal Auto,Luxury,358
RH42306,Arizona,F,Bachelor,499206,0,71,0,Corporate Auto,Four-Door Car,653
US23612,Oregon,F,High School or Below,910226,26049,118,0,Personal Auto,Two-Door Car,121
WV76014,Arizona,M,Doctor,254040,70125,64,0,Special Auto,Four-Door Car,92
RK96223,California,M,College,1294189,52369,110,1,Personal Auto,SUV,528
MF82000,Washington,F,Bachelor,236534,0,66,2,Special Auto,Four-Door Car,159
FM46980,Arizona,M,College,572076,41770,72,0,Personal Auto,Four-Door Car,476
SY56792,Oregon,M,High School or Below,703553,0,101,0,Corporate Auto,Four-Door Car,727
RF61565,California,M,College,263697,31911,67,0,Personal Auto,Four-Door Car,321
IM94808,Nevada,M,Bachelor,539583,70051,68,0,Corporate Auto,Four-Door Car,42
VI14730,Oregon,M,High School or Below,838263,19683,117,1,Personal Auto,Luxury,561
YR34119,Washington,F,College,3116174,30916,112,0,Personal Auto,SUV,200
RR77985,Oregon,F,Bachelor,288774,0,80,0,Personal Auto,Four-Door Car,676
QD28391,Washington,M,College,742584,84302,62,0,Personal Auto,Four-Door Car,76
WV17090,California,M,Bachelor,2558572,0,116,0,Corporate Auto,SUV,830
TM23514,Oregon,M,College,1027260,60145,132,0,Personal Auto,SUV,580
MQ68407,Oregon,F,Bachelor,437636,63774,111,0,Personal Auto,Four-Door Car,60
GJ59592,California,F,Bachelor,531889,25134,67,0,Corporate Auto,Four-Door Car,321
FY56083,Oregon,M,Bachelor,471976,37057,61,1,Personal Auto,Four-Door Car,47
UA94723,Oregon,F,High School or Below,442803,58577,110,0,Personal Auto,SUV,303
FW91032,California,M,High School or Below,587917,85857,73,0,Corporate Auto,Four-Door Car,100
DE34457,Oregon,F,Doctor,941690,70602,116,0,Personal Auto,SUV,481
HD32044,Oregon,F,Master,828815,33816,106,2,Corporate Auto,Four-Door Car,508
HH30454,Oregon,M,Bachelor,3265483,0,153,0,Personal Auto,SUV,1101
AH84063,Oregon,F,College,471945,89642,121,4,Corporate Auto,SUV,86
QA17596,California,F,Bachelor,390347,60068,98,0,Personal Auto,Two-Door Car,470
XI41052,California,F,Bachelor,545725,50044,139,0,Personal Auto,SUV,667
DI30528,California,F,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56
SC66359,Arizona,F,College,443397,50653,110,0,Corporate Auto,SUV,262
EN61670,Arizona,F,Doctor,533246,68931,66,0,Personal Auto,Four-Door Car,309
DQ10761,Oregon,M,Bachelor,231509,0,73,1,Corporate Auto,Four-Door Car,350
